team,row,baseline_qb,projected_week1_starter,active_qb_in_sheet,status,confidence,baseline_value,active_value,delta,priced_in_value_v1_1,reviewed_season,last_update,notes
NE,26,Drake Maye,Drake Maye,Drake Maye,settled,High,0,0,0,5.5,2026,2026-08-05,Drake Maye starter (Yahoo/ESPN Aug'26).
NO,27,Tyler Shough,Tyler Shough,Tyler Shough,settled,High,0,0,0,2.5,2026,2026-08-05,"Tyler Shough returning starter, Rattler backup (Yahoo Aug'26)."
NYG,28,Jaxson Dart,Jaxson Dart,Jaxson Dart,settled,High,0,0,0,2.25,2026,2026-08-05,"Jaxson Dart starter, Winston backup (Yahoo Aug'26)."
NYJ,29,Geno Smith,Geno Smith,Geno Smith,settled,High,0,0,0,1.5,2026,2026-08-05,Geno Smith starter (Yahoo Aug'26).
PHI,30,Jalen Hurts,Jalen Hurts,Jalen Hurts,settled,High,0,0,0,4.75,2026,2026-08-05,Jalen Hurts starter (Yahoo/ESPN Aug'26).
PIT,31,Aaron Rodgers,Aaron Rodgers,Aaron Rodgers,settled,High,0,0,0,2.75,2026,2026-08-05,Aaron Rodgers locked QB1 (announced final season) (Yahoo/ESPN Aug'26).
SEA,32,Sam Darnold,Sam Darnold,Sam Darnold,settled,High,0,0,0,4.25,2026,2026-08-05,"Sam Darnold starter, Lock backup (Yahoo Aug'26)."
SF,33,Brock Purdy,Brock Purdy,Brock Purdy,settled,High,0,0,0,4.5,2026,2026-08-05,"Brock Purdy starter, Mac Jones backup (Yahoo Aug'26)."
TB,34,Baker Mayfield,Baker Mayfield,Baker Mayfield,settled,High,0,0,0,4.0,2026,2026-08-05,Baker Mayfield starter (Yahoo Aug'26).
TEN,35,Cam Ward,Cam Ward,Cam Ward,settled,High,0,0,0,2.75,2026,2026-08-05,"Cam Ward starter (2025 #1 pick, Year 2) (Yahoo/ESPN Aug'26)."
WAS,36,Jayden Daniels,Jayden Daniels,Jayden Daniels,settled,High,0,0,0,4.75,2026,2026-08-05,Jayden Daniels starter (Yahoo/ESPN Aug'26).
