Sheet,Cell / Range,Team,Action,Before,After,Note
PRESEASON,I28,NYG,PASTE VALUE,(blank),10.236,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I29,NYJ,PASTE VALUE,(blank),6.899,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I30,PHI,PASTE VALUE,(blank),14.541,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I31,PIT,PASTE VALUE,(blank),11.221,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I32,SEA,PASTE VALUE,(blank),16.526,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I33,SF,PASTE VALUE,(blank),15.2305,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I34,TB,PASTE VALUE,(blank),11.5175,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I35,TEN,PASTE VALUE,(blank),8.242,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,I36,WAS,PASTE VALUE,(blank),10.8,SrcB public avg — equal-weight VSiN p29 / ESPN FPI composite
PRESEASON,K5,ARI,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K6,ATL,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K7,BAL,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K8,BUF,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K9,CAR,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K10,CHI,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K11,CIN,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K12,CLE,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K13,DAL,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K14,DEN,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K15,DET,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K16,GB,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K17,HOU,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K18,IND,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K19,JAX,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K20,KC,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K21,LA,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K22,LAC,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K23,LV,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K24,MIA,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K25,MIN,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K26,NE,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K27,NO,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K28,NYG,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K29,NYJ,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K30,PHI,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K31,PIT,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K32,SEA,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K33,SF,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K34,TB,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K35,TEN,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,K36,WAS,PASTE TEXT,(blank),"Equal-weight composite: Steve Makinen power ratings, 2026 VSiN NFL Betting Guide 2.0 p29 (…",SrcB source citation
PRESEASON,L5,ARI,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L6,ATL,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L7,BAL,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L8,BUF,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L9,CAR,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L10,CHI,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L11,CIN,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L12,CLE,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L13,DAL,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L14,DEN,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L15,DET,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L16,GB,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L17,HOU,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L18,IND,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L19,JAX,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L20,KC,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L21,LA,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L22,LAC,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L23,LV,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L24,MIA,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L25,MIN,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L26,NE,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L27,NO,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L28,NYG,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L29,NYJ,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L30,PHI,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L31,PIT,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L32,SEA,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L33,SF,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L34,TB,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L35,TEN,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
PRESEASON,L36,WAS,PASTE TEXT,(blank),2026-09-01,SrcB as-of date
TEAM RATINGS,D5,ARI,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A5,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A5,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A5,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D6,ATL,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A6,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A6,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A6,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D7,BAL,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A7,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A7,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A7,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D8,BUF,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A8,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A8,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A8,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D9,CAR,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A9,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A9,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A9,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D10,CHI,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A10,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A10,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A10,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D11,CIN,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A11,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A11,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A11,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D12,CLE,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A12,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A12,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A12,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D13,DAL,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A13,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A13,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A13,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D14,DEN,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A14,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A14,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A14,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D15,DET,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A15,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A15,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A15,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D16,GB,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A16,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A16,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A16,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D17,HOU,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A17,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A17,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A17,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D18,IND,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A18,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A18,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A18,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D19,JAX,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A19,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A19,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A19,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D20,KC,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A20,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A20,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A20,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D21,LA,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A21,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A21,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A21,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D22,LAC,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A22,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A22,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A22,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D23,LV,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A23,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A23,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A23,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D24,MIA,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A24,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A24,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A24,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D25,MIN,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A25,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A25,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A25,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D26,NE,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A26,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A26,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A26,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D27,NO,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A27,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A27,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A27,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D28,NYG,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A28,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A28,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A28,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D29,NYJ,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A29,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A29,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A29,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D30,PHI,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A30,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A30,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A30,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D31,PIT,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A31,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A31,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A31,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D32,SEA,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A32,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A32,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A32,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D33,SF,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A33,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A33,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A33,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D34,TB,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A34,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A34,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A34,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D35,TEN,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A35,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A35,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A35,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
TEAM RATINGS,D36,WAS,FORMULA,"=IFERROR(ROUND(INDEX(CalcGoverned,MATCH($A36,CalcTeams,0)),2),"""")","=IFERROR(IF(ISNUMBER(INDEX(CalcGoverned,MATCH($A36,CalcTeams,0))),ROUND(INDEX(CalcGoverned,MATCH($A36,CalcTeams,0)),2),""""),"""")",ISNUMBER lookup protection (blank stays blank)
START HERE,A1,,TEXT,TO THE WINDOW — NFL POWER RATINGS 2026 (v1.1),TO THE WINDOW — NFL POWER RATINGS 2026 (v1.4),Version banner v1.1 -> v1.4
CHANGELOG,A7,,TEXT,(blank),1.4,New v1.4 entry — Version
CHANGELOG,B7,,TEXT,(blank),2026-09-01,New v1.4 entry — Date
CHANGELOG,C7,,TEXT,(blank),Preseason prior sources completed and the Week-1 blend coercion fixed. (1) PRESEASON Sourc…,New v1.4 entry — Change
CHANGELOG,D7,,TEXT,(blank),No retune and no backtest change: the 2025 walk-forward metrics are unaffected because Sou…,New v1.4 entry — Backtest impact
PRESEASON,J5,ARI,RECALCULATED — DO NOT TYPE,(blank),-5.96,SrcB centered
PRESEASON,S5,ARI,RECALCULATED — DO NOT TYPE,-2.59,-4.16,Effective prior
PRESEASON,T5,ARI,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J6,ATL,RECALCULATED — DO NOT TYPE,(blank),-2.17,SrcB centered
PRESEASON,S6,ATL,RECALCULATED — DO NOT TYPE,-0.08,-1.06,Effective prior
PRESEASON,T6,ATL,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J7,BAL,RECALCULATED — DO NOT TYPE,(blank),3.95,SrcB centered
PRESEASON,S7,BAL,RECALCULATED — DO NOT TYPE,1.15,2.46,Effective prior
PRESEASON,T7,BAL,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J8,BUF,RECALCULATED — DO NOT TYPE,(blank),4.28,SrcB centered
PRESEASON,S8,BUF,RECALCULATED — DO NOT TYPE,2.19,3.17,Effective prior
PRESEASON,T8,BUF,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J9,CAR,RECALCULATED — DO NOT TYPE,(blank),-2.47,SrcB centered
PRESEASON,S9,CAR,RECALCULATED — DO NOT TYPE,-1.62,-2.02,Effective prior
PRESEASON,T9,CAR,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J10,CHI,RECALCULATED — DO NOT TYPE,(blank),1.53,SrcB centered
PRESEASON,S10,CHI,RECALCULATED — DO NOT TYPE,1.07,1.28,Effective prior
PRESEASON,T10,CHI,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J11,CIN,RECALCULATED — DO NOT TYPE,(blank),0.9,SrcB centered
PRESEASON,S11,CIN,RECALCULATED — DO NOT TYPE,-1.91,-0.6,Effective prior
PRESEASON,T11,CIN,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J12,CLE,RECALCULATED — DO NOT TYPE,(blank),-4.43,SrcB centered
PRESEASON,S12,CLE,RECALCULATED — DO NOT TYPE,-3.25,-3.8,Effective prior
PRESEASON,T12,CLE,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J13,DAL,RECALCULATED — DO NOT TYPE,(blank),0.92,SrcB centered
PRESEASON,S13,DAL,RECALCULATED — DO NOT TYPE,-2.82,-1.07,Effective prior
PRESEASON,T13,DAL,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J14,DEN,RECALCULATED — DO NOT TYPE,(blank),2.21,SrcB centered
PRESEASON,S14,DEN,RECALCULATED — DO NOT TYPE,2.41,2.32,Effective prior
PRESEASON,T14,DEN,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J15,DET,RECALCULATED — DO NOT TYPE,(blank),2.29,SrcB centered
PRESEASON,S15,DET,RECALCULATED — DO NOT TYPE,1.07,1.64,Effective prior
PRESEASON,T15,DET,RECALCULATED — DO NOT TYPE,1,2,Sources used
PRESEASON,J16,GB,RECALCULATED — DO NOT TYPE,(blank),2.59,SrcB centered
